Symptom,Disease
Poor feeding,Carbamoyl Phosphate Synthetase I Deficiency Disease
Poor feeding,Maple Syrup Urine Disease
Vomiting,Carbamoyl Phosphate Synthetase I Deficiency Disease
Vomiting,Ebola
Vomiting,Pancreatitis
Vomiting,Primary Amebic Meningoencephalitis
Vomiting,Gallstones
Vomiting,Gallbladder Disease
Vomiting,Gastroenteritis
Numbness,Carpal Tunnel Syndrome
Numbness,Guillain-Barre Syndrome
Numbness,Peripheral Artery Disease
Numbness,Stroke
Numbness,Leprosy
Numbness,Diabetic Neuropathy
Numbness,Raynaud's Disease
Numbness,Spinal Cord Injury
Tingling,Carpal Tunnel Syndrome
Tingling,Guillain-Barre Syndrome
Tingling,Diabetic Neuropathy
Hand Weakness,Carpal Tunnel Syndrome
Neurological issues,Cerebrotendinous Xanthomatosis
Neurological issues,Porphyria
Cataracts,Cerebrotendinous Xanthomatosis
Cataracts,Lowe Syndrome
Tendon Xanthomas,Cerebrotendinous Xanthomatosis
Itchy rashes,Chickenpox
Tiredness,Chickenpox
Tiredness,Chronic Fatigue Syndrome
Rash,Skin Allergy
Rash,Allergies
Rash,Ascariasis
Rash,Aspartylglucosaminuria
Rash,Chickenpox
Rash,Chikungunya
Rash,Dengue Fever
Rash,Eczema (Atopic Dermatitis)
Rash,"Hand, Foot, and Mouth Disease"
Rash,Kawasaki Disease
Rash,Langerhans Cell Histiocytosis
Rash,Lupus
Rash,Lyme Disease
Rash,Measles
Rash,Monkeypox
Rash,Rickettsial Diseases
Rash,Rocky Mountain Spotted Fever
Rash,Strongyloidiasis
Rash,Toxocariasis
Rash,Toxoplasmosis
Rash,Typhus
Rash,West Nile Virus
Rash,Zika Virus
Rash,"Autoimmune Diseases (e.g., Lupus)"
Rash,Psoriatic Arthritis
Rash,Systemic Lupus Erythematosus (SLE)
Rash,Zoonotic Infections
Skin lesions,Chromoblastomycosis
Skin lesions,Leprosy
Skin lesions,Pinta
Skin lesions,Talaromycosis
Reduced Appetite,Chronic Kidney Disease (CKD)
Breathlessness,Chronic Obstructive Pulmonary Disease (COPD)
Muscle Pain,Ciguatera Poisoning
Muscle Pain,Crimean-Congo Hemorrhagic Fever
Muscle Pain,Cysticercosis
Muscle Pain,Lassa Fever
Muscle Pain,Leptospirosis
Muscle Pain,Marburg
Muscle Pain,Q Fever
Muscle Pain,Rift Valley Fever
Muscle Pain,Rocky Mountain Spotted Fever
Muscle Pain,Toxoplasmosis
Muscle Pain,Trichinellosis
Muscle Pain,Chronic Fatigue Syndrome
Muscle Pain,Malaria
Muscle Pain,Dengue Fever
Jaundice,Clonorchiasis
Jaundice,Crigler-Najjar Syndrome
Jaundice,Hepatitis A
Jaundice,Hepatitis B
Jaundice,Hepatitis C
Jaundice,Leptospirosis
Jaundice,Liver Cancer
Jaundice,Liver Cirrhosis
Jaundice,Pancreatic Cancer
Jaundice,Wilson's Disease
Jaundice,Yellow Fever
Jaundice,"Hepatitis (A, B, C)"
Jaundice,Hepatitis
Jaundice,Autoimmune Hepatitis
Jaundice,Cirrhosis
Jaundice,Gallbladder Disease
Jaundice,Wilson’s Disease
Weak Muscle Tone,Coffin-Lowry Syndrome
Congestion,Cough
Congestion,Cold
Congestion,Chronic Sinusitis
Congestion,Nasal Polyps
Congestion,Sinusitis
Changes in bowel habits,Colorectal Cancer
Irregular bowel movements,Constipation
Developmental Issues,Costello Syndrome
Dry Or Wet Cough,Cough
Yellowing Of Skin,Crigler-Najjar Syndrome
Yellowing Of Skin,Hepatitis
Eyes,Crigler-Najjar Syndrome
Eyes,Kawasaki Disease
Eyes,Measles
Eyes,Sjogren's Syndrome
Eyes,Conjunctivitis
Eyes,Graves' Disease
Eyes,Bell's Palsy
Bleeding,Crimean-Congo Hemorrhagic Fever
Bleeding,Dengue Hemorrhagic Fever
Bleeding,Hemophilia
Bleeding,Kyasanur Forest Disease
Bleeding,Lassa Fever
Bleeding,Marburg
Bleeding,Marburg Virus Disease
Bleeding,Melanoma
Bleeding,Menstrual Disorders
Bleeding,Skin Cancer (Melanoma)
Bleeding,Gingivitis
Watery diarrhea,Cryptosporidiosis
Lung Infections,Cystic Fibrosis
Headaches,Cysticercosis
Headaches,Hypertension
Headaches,Pituitary Tumors
Headaches,Relapsing Fever
Headaches,Fibromyalgia
Headaches,Brain Tumors
Headaches,Chronic Sinusitis
Headaches,Stress
Weakness,Adrenal Insufficiency
Weakness,Amyotrophic Lateral Sclerosis (ALS)
Weakness,Argininemia
Weakness,Barth Syndrome
Weakness,Atherosclerosis
Weakness,Canavan Disease
Weakness,Carpal Tunnel Syndrome
Weakness,Cystinosis
Weakness,Duchenne Muscular Dystrophy
Weakness,Ebola Virus
Weakness,Guillain-Barre Syndrome
Weakness,Kearns-Sayre Syndrome
Weakness,Krabbe Disease
Weakness,Leprosy
Weakness,Leukodystrophy
Weakness,Lipid Storage Disease
Weakness,Mitochondrial Myopathy
Weakness,Multiple Sclerosis
Weakness,Muscular Dystrophy
Weakness,Myasthenia Gravis
Weakness,Neurotoxocariasis
Weakness,Polio
Weakness,Stroke
Weakness,Cerebral Palsy
Weakness,Multiple Myeloma
Weakness,Spondylosis
Kidney Issues,Cystinosis
Kidney Issues,"Autoimmune Diseases (e.g., Lupus)"
Vision Problems,Cystinosis
Vision Problems,Leukodystrophy
Vision Problems,Marfan Syndrome
Vision Problems,Mitochondrial Myopathy
Vision Problems,Mucolipidosis
Vision Problems,Multiple Sclerosis
Vision Problems,Multiple Sulfatase Deficiency
Vision Problems,Pituitary Tumors
Scalp itchiness,Dandruff
Flaking,Dandruff
Difficulty Concentrating,Dementia
High fever,Dengue Fever
High fever,Dengue Hemorrhagic Fever
High fever,Ebola
High fever,Q Fever
Discolored teeth,Dentinogenesis Imperfecta
Fragile Enamel,Dentinogenesis Imperfecta
Sadness,Depression
Loss Of Interest,Depression
Short stature,Desbuquois Dysplasia
Short stature,Larsen Syndrome
Short stature,Noonan Syndrome
Joint Contractures,Desbuquois Dysplasia
Skeletal Dysplasia,Desbuquois Dysplasia
Excessive Thirst,Diabetes
Excessive Thirst,Diabetes Mellitus
Increased thirst,Diabetes Mellitus Type 1 and Type 2
Increased thirst,Type 1 Diabetes
Indigestion,Digestive Disorders
Indigestion,Gallstones
Indigestion,Peptic Ulcers
Discomfort After Eating,Digestive Disorders
Discomfort After Eating,Indigestion
Mouth Sores,Dihydropyrimidine Dehydrogenase Deficiency
Mouth Sores,"Hand, Foot, and Mouth Disease"
Painful ulcers,Dracunculiasis
Difficulty Walking,Duchenne Muscular Dystrophy
Difficulty Walking,Multiple Sclerosis
Difficulty Walking,Muscular Dystrophy
Difficulty Walking,Wilson’s Disease
Skeletal Deformities,Dyggve-Melchior-Clausen Syndrome
Skeletal Deformities,Larsen Syndrome
Skeletal Deformities,Osteogenesis Imperfecta
Hemorrhage,Ebola
Hemorrhaging,Ebola Virus
Liver Cysts,Echinococcosis
Itchy skin,Eczema (Atopic Dermatitis)
Itchy skin,Onchocerciasis (River Blindness)
Itchy skin,Seborrheic Dermatitis
Itchy skin,Atopic Dermatitis
Itchy skin,Candidiasis
Red Rashes,Eczema (Atopic Dermatitis)
Inflammation,Eczema (Atopic Dermatitis)
Chronic Cough,Emphysema
Chronic Cough,Lung Cancer
Chronic Cough,Bronchiectasis
Chronic Cough,COPD (Chronic Obstructive Pulmonary Disease)
Pelvic pain,Endometriosis
Pelvic pain,Ovarian Cancer
Pelvic pain,Prostate Cancer
Heavy Periods,Endometriosis
Pain During Intercourse,Endometriosis
Itchy anus,Enterobiasis
Digestive Discomfort,Enterobiasis
Loss Of Consciousness,Epilepsy
Liver Swelling,Fascioliasis
Sweating,Fever
Sweating,Hypoglycemia
Sweating,Malaria
Sweating,Heart Attack (Myocardial Infarction)
Chronic pain,Fibromyalgia
Sleep Disturbances,Fibromyalgia
Sleep Disturbances,Chronic Fatigue Syndrome
Lymph Node Enlargement,Filariasis
Regurgitation,Gastroesophageal Reflux Disease (GERD)
Blood In Urine,Glomerulonephritis
Blood In Urine,Kidney Cancer
Blood In Urine,Kidney Stones
Blood In Urine,Schistosomiasis
Blood In Urine,Prostate Cancer
Blood In Urine,Bladder Cancer
Especially In Big Toe,Gout
Hyperthyroidism,Graves Disease
Heat Intolerance,Graves Disease
Tingling In Limbs,Guillain-Barre Syndrome
Painful blisters,Guinea Worm Disease
Thinning of hair,Hair Loss
Bald Patches,Hair Loss
Rash on hands,"Hand, Foot, and Mouth Disease"
Muscle Aches,Hantavirus Pulmonary Syndrome
Muscle Aches,Relapsing Fever
Muscle Aches,Rickettsial Diseases
Muscle Aches,Typhus
Muscle Aches,Chronic Fatigue Syndrome
Muscle Aches,Zoonotic Infections
Sensitivity To Cold,Hashimoto's Thyroiditis
Swelling In Legs,Heart Failure
Swelling In Legs,Lymphatic Filariasis
Liver Enlargement,Hemochromatosis
Liver Enlargement,Opistorchiasis
Unexplained bleeding,Hemophilia
Easy Bruising,Hemophilia
Easy Bruising,Leukemia
Headache,Migraine
Headache,Cysticercosis
Headache,Hendra Virus Infection
Headache,Hypertension
Headache,Kyasanur Forest Disease
Headache,Leptospirosis
Headache,Lyme Disease
Headache,Malaria
Headache,Marburg
Headache,Marburg Virus Disease
Headache,Meningitis
Headache,Naegleria Infection
Headache,Nipah Virus Infection
Headache,Pituitary Tumors
Headache,Polio
Headache,Primary Amebic Meningoencephalitis
Headache,Q Fever
Headache,Relapsing Fever
Headache,Renal Hypertension
Headache,Rickettsial Diseases
Headache,Rift Valley Fever
Headache,Rocky Mountain Spotted Fever
Headache,Sleeping Sickness (Trypanosomiasis)
Headache,Trichinellosis
Headache,Typhus
Headache,West Nile Virus
Headache,Yellow Fever
Headache,Zoonotic Malaria
Headache,Chronic Fatigue Syndrome
Headache,Fibromyalgia
Headache,Brain Tumors
Headache,Chronic Sinusitis
Headache,Glaucoma
Headache,Polycythemia Vera
Headache,Sinusitis
Headache,Stress
Respiratory Symptoms,Hendra Virus Infection
Loss Of Appetite,Hepatitis
Loss Of Appetite,Liver Disorders
Loss Of Appetite,Stomach Cancer
Movement problems,Huntington's Disease
Mood Swings,Huntington's Disease
Mood Swings,Menopause
Mood Swings,Mental Health Disorders
Mood Swings,Thyroid Disorders
Mood Swings,Bipolar Disorder
Cognitive Decline,Huntington's Disease
Painful Urination,Hydronephrosis
Painful Urination,Urinary Tract Infections (UTIs)
Painful Urination,Prostate Cancer
Painful Urination,Bladder Cancer
Painful Urination,Cystitis
Painful Urination,Urinary Tract Infection (UTI)
Weak bones,Hyperparathyroidism
Kidney Stones,Hyperparathyroidism
Kidney Stones,Lesch-Nyhan Syndrome
Anxiety,Hyperthyroidism
Anxiety,Mental Health Disorders
Anxiety,Mental Stress
Anxiety,Graves' Disease
Anxiety,Post-Traumatic Stress Disorder (PTSD)
Anxiety,Stress
Tremors,Hyperthyroidism
Tremors,Parkinson's Disease
Tremors,Wilson's Disease
Tremors,Wilson’s Disease
Rapid Heartbeat,Hyperthyroidism
Rapid Heartbeat,Graves' Disease
Shakiness,Hypoglycemia
Cold Intolerance,Hypothyroidism
Dry Skin,Hypothyroidism
Dry Skin,Psoriasis
Dry Skin,Atopic Dermatitis
Heat,Graves Disease
Heat,Inflammation
Difficulty falling asleep,Insomnia
Restless Mind,Insomnia
Abdominal cramps,Irritable Bowel Syndrome (IBS)
Abdominal cramps,Gastroenteritis
Diarrhea Or Constipation,Irritable Bowel Syndrome (IBS)
Pain In Joints,Joint Pain
Enlarged Spleen Or Liver,Kala-azar
Red Eyes,Kawasaki Disease
Red Eyes,Measles
Red Eyes,Conjunctivitis
Heart Problems,Kearns-Sayre Syndrome
Eye Issues,Kearns-Sayre Syndrome
Pain In Back Or Abdomen,Kidney Cancer
Severe pain in the back or side,Kidney Stones
Recurrent episodes of excessive sleep,Kleine-Levin Syndrome
Altered Behavior,Kleine-Levin Syndrome
Infertility,Klinefelter Syndrome
Enlarged Breasts,Klinefelter Syndrome
Low Testosterone,Klinefelter Syndrome
Loss Of Motor Skills,Krabbe Disease
Loss Of Motor Skills,Rett Syndrome
Loss Of Motor Skills,Tay-Sachs Disease
Irritability,Krabbe Disease
Irritability,Mental Stress
Irritability,Anxiety Disorder
Irritability,Stress
Body Ache,Fever
Body Ache,Influenza
Body Ache,Kyasanur Forest Disease
Body Ache,West Nile Virus
Body Ache,Zoonotic Malaria
Body Ache,Viral Infections
Skin rashes,Langerhans Cell Histiocytosis
Skin rashes,Lupus
Skin rashes,Strongyloidiasis
Skin rashes,"Autoimmune Diseases (e.g., Lupus)"
Skin rashes,Psoriatic Arthritis
Skin rashes,Systemic Lupus Erythematosus (SLE)
Bone Pain,Langerhans Cell Histiocytosis
Bone Pain,Osteopetrosis
Bone Pain,Yaws
Bone Pain,Multiple Myeloma
Joint dislocations,Larsen Syndrome
Progressive loss of mental,Leigh Syndrome
Movement Abilities,Leigh Syndrome
Swollen Spleen,Leishmaniasis
Nerve Damage,Leprosy
Self-injurious behavior,Lesch-Nyhan Syndrome
Muscle Rigidity,Lesch-Nyhan Syndrome
Muscle Rigidity,Parkinson's Disease
Unexplained Weight Loss,Leukemia
Unexplained Weight Loss,Weight Loss
Frequent Infections,Leukemia
Frequent Infections,Sickle Cell Anemia
Frequent Infections,Multiple Myeloma
Difficulty With Coordination,Leukodystrophy
Low Potassium Levels,Liddle Syndrome
Alkalosis,Liddle Syndrome
Enlarged liver,Lipid Storage Disease
Enlarged liver,Niemann-Pick Disease
Spleen,Kala-azar
Spleen,Leishmaniasis
Spleen,Lipid Storage Disease
Spleen,Niemann-Pick Disease
Spleen,Thalassemia
Yellowing Of The Skin,Liver Disorders
Arterial aneurysms,Loeys-Dietz Syndrome
Joint Problems,Loeys-Dietz Syndrome
Eye Pain,Loiasis
Eye Pain,Glaucoma
Developmental Delay,Asparagine Synthetase Deficiency
Developmental Delay,Coffin-Lowry Syndrome
Developmental Delay,Down Syndrome
Developmental Delay,Dyggve-Melchior-Clausen Syndrome
Developmental Delay,Fragile X Syndrome
Developmental Delay,Lowe Syndrome
Developmental Delay,Menkes Disease
Developmental Delay,Miller-Dieker Syndrome
Developmental Delay,Mowat-Wilson Syndrome
Developmental Delay,Mucolipidosis
Developmental Delay,Mucopolysaccharidosis
Developmental Delay,Multiple Sulfatase Deficiency
Developmental Delay,Niemann-Pick Disease
Developmental Delay,Noonan Syndrome
Developmental Delay,Pfeiffer Syndrome
Developmental Delay,Phenylketonuria (PKU)
Developmental Delay,Pitt-Hopkins Syndrome
Developmental Delay,Prader-Willi Syndrome
Kidney Problems,Lowe Syndrome
Photosensitivity,Lupus
Photosensitivity,Systemic Lupus Erythematosus (SLE)
Bull'S-Eye Rash,Lyme Disease
Arms,Lymphatic Filariasis
Genital Area,Lymphatic Filariasis
Genital Area,Herpes Simplex Virus (HSV)
Night Sweats,Lymphoma
Night Sweats,Menopause
Night Sweats,Tuberculosis
Night Sweats,Hodgkin's Lymphoma
Night Sweats,Lymphadenopathy
Night Sweats,Hodgkin’s Lymphoma
Multiple benign growths,Maffucci Syndrome
Bone Deformities,Maffucci Syndrome
Vascular Tumors,Maffucci Syndrome
Sweet-smelling urine,Maple Syrup Urine Disease
Long limbs,Marfan Syndrome
Heart Defects,Marfan Syndrome
Heart Defects,Noonan Syndrome
Bone fractures,McCune-Albright Syndrome
Skin Pigmentation,McCune-Albright Syndrome
Endocrine Issues,McCune-Albright Syndrome
Dark skin growth,Melanoma
Asymmetrical Mole,Melanoma
Abscesses,Melioidosis
Abscesses,Hidradenitis Suppurativa
Sudden fever,Meningitis
Stiff Neck,Meningitis
Stiff Neck,Naegleria Infection
Stiff Neck,Primary Amebic Meningoencephalitis
Brittle Hair,Menkes Disease
Hot flashes,Menopause
Vaginal Dryness,Menopause
Irregular periods,Menstrual Disorders
Irregular periods,Ovarian Cancer
Irregular periods,Polycystic Ovary Syndrome (PCOS)
Heavy Bleeding,Menstrual Disorders
Cramps,Irritable Bowel Syndrome (IBS)
Cramps,Menstrual Disorders
Cramps,Gastroenteritis
Depression,Mental Health Disorders
Depression,Hypothyroidism
Depression,Post-Traumatic Stress Disorder (PTSD)
Depression,Bipolar Disorder
Lack Of Focus,Mental Health Disorders
Trouble Sleeping,Mental Stress
Abdominal obesity,Metabolic Syndrome
High Blood Sugar,Metabolic Syndrome
Sensitivity To Light,Migraine
Sound,Migraine
Facial Abnormalities,Miller-Dieker Syndrome
Facial Abnormalities,Mowat-Wilson Syndrome
Facial Abnormalities,Pfeiffer Syndrome
Facial Abnormalities,Pitt-Hopkins Syndrome
Joint stiffness,Mucopolysaccharidosis
Heart Valve Problems,Mucopolysaccharidosis
Breathing Problems,Muscular Dystrophy
Breathing Problems,Pitt-Hopkins Syndrome
Drooping Eyelids,Myasthenia Gravis
Pus Discharge,Mycetoma
Difficulty Relaxing Muscles,Myotonia Congenita
Foamy Urine,Nephrotic Syndrome
Lumps on the skin,Neurofibromatosis
Learning Difficulties,Neurofibromatosis
Vision Issues,Neurofibromatosis
Vision Issues,Multiple Sclerosis
Respiratory Distress,Nipah Virus Infection
Excessive weight,Obesity
Difficulty In Physical Activity,Obesity
Vision Impairment,Onchocerciasis (River Blindness)
Fragile bones,Osteogenesis Imperfecta
Fragile bones,Osteoporosis
Frequent Fractures,Osteogenesis Imperfecta
Fractures,McCune-Albright Syndrome
Fractures,Osteogenesis Imperfecta
Fractures,Osteopetrosis
Fractures,Osteoporosis
Vision,Arthritis
Vision,Cystinosis
Vision,Leukodystrophy
Vision,Marfan Syndrome
Vision,Mitochondrial Myopathy
Vision,Mucolipidosis
Vision,Multiple Sclerosis
Vision,Multiple Sulfatase Deficiency
Vision,Neurofibromatosis
Vision,Onchocerciasis (River Blindness)
Vision,Osteopetrosis
Vision,Pituitary Tumors
Vision,Trachoma
Vision,Diabetes Mellitus
Vision,Glaucoma
Vision,Diabetic Retinopathy
Hearing Problems,Osteopetrosis
Height Loss,Osteoporosis
Abdominal bloating,Ovarian Cancer
Upper abdominal pain,Pancreatitis
Enlarged Lymph Nodes,Paracoccidioidomycosis
Blood In Sputum,Paragonimiasis
Slow Movement,Parkinson's Disease
Balance Problems,Parkinson's Disease
Urinary incontinence,Pelvic Floor Disorders
Pelvic Pressure,Pelvic Floor Disorders
Constipation,Irritable Bowel Syndrome (IBS)
Constipation,Pelvic Floor Disorders
Constipation,Diverticulitis
Stomach pain,Peptic Ulcers
Leg pain,Peripheral Artery Disease
Cramping,Peripheral Artery Disease
Slow Wound Healing,Peripheral Artery Disease
Mucocutaneous pigmentation,Peutz-Jeghers Syndrome
Gastrointestinal Polyps,Peutz-Jeghers Syndrome
Craniofacial abnormalities,Pfeiffer Syndrome
Eczema,Phenylketonuria (PKU)
Hormonal Imbalances,Pituitary Tumors
Coughing,Pneumoconiosis
Coughing,Pneumonic Plague
Coughing,Toxocariasis
Coughing,Asthma
Coughing With Blood,Pneumonic Plague
Paralysis,Polio
Paralysis,Spinal Cord Injury
Kidney Enlargement,Polycystic Kidney Disease
Excessive Hair Growth,Polycystic Ovary Syndrome (PCOS)
Skin Sensitivity,Porphyria
Insatiable hunger,Prader-Willi Syndrome
Obesity,Metabolic Syndrome
Obesity,Prader-Willi Syndrome
Chronic respiratory infections,Primary Ciliary Dyskinesia
Sinusitis,Primary Ciliary Dyskinesia
Urinary problems,Prostate Cancer
Difficulty Urinating,Prostate Cancer
Difficulty Urinating,Prostate Enlargement (Benign Prostatic Hyperplasia)
Red,Skin Allergy
Red,Acute Kidney Injury
Red,Chickenpox
Red,Chronic Kidney Disease (CKD)
Red,Contact Dermatitis
Red,Dentinogenesis Imperfecta
Red,Eczema (Atopic Dermatitis)
Red,Gout
Red,Inflammation
Red,Kawasaki Disease
Red,Kleine-Levin Syndrome
Red,Measles
Red,Psoriasis
Red,Rosacea
Red,Seborrheic Dermatitis
Red,Skin Diseases
Red,"Skin Infections (Bacterial, Fungal, Viral)"
Red,Skin Rash
Red,Trachoma
Red,Diabetes Mellitus
Red,Atopic Dermatitis
Red,Chronic Fatigue Syndrome
Red,Conjunctivitis
Red,Gingivitis
Red,Glaucoma
Red,Polycythemia Vera
Red,Skin Infections
Red,Yeast Infections
Red,Diabetic Retinopathy
Inflamed Skin,Psoriasis
Scales,Psoriasis
Agitation,Rabies
Hallucinations,Rabies
Hydrophobia,Rabies
Recurrent fevers,Relapsing Fever
Abnormal Hand Movements,Rett Syndrome
Heart Palpitations,Rheumatic Heart Disease
Visible Blood Vessels,Rosacea
Pimples On The Face,Rosacea
Uneven shoulders,Scoliosis
Back Pain,Scoliosis
Back Pain,Kidney Cancer
Back Pain,Osteoporosis
Back Pain,Sciatica
Back Pain,Spondylosis
Difficulty Standing Straight,Scoliosis
Dandruff,Seborrheic Dermatitis
Flakiness,Seborrheic Dermatitis
Septic Shock,Septicemic Plague
Low libido,Sexual Dysfunction
Erectile Dysfunction,Sexual Dysfunction
Premature Ejaculation,Sexual Dysfunction
Swelling In Hands,Sickle Cell Anemia
Dry mouth,Sjogren's Syndrome
Dry Eyes,Sjogren's Syndrome
Irregular Moles,Skin Cancer (Melanoma)
Irritation,Skin Diseases
Irritation,Trachoma
Lesions,Chromoblastomycosis
Lesions,Leprosy
Lesions,Pinta
Lesions,Skin Diseases
Lesions,Talaromycosis
Discharge,Autosomal Dominant Polycystic Kidney Disease
Discharge,Mycetoma
Discharge,"Skin Infections (Bacterial, Fungal, Viral)"
Discharge,Conjunctivitis
Discharge,Yeast Infections
Inflamed,Psoriasis
Inflamed,Skin Rash
Itchy Patches On The Skin,Skin Rash
Loud snoring,Sleep Apnea
Choking During Sleep,Sleep Apnea
Daytime Fatigue,Sleep Apnea
Ulcers,Buruli Ulcer
Ulcers,Dracunculiasis
Ulcers,Leishmaniasis
Ulcers,Mycetoma
Ulcers,Sparganosis
Ulcers,Yaws
Subcutaneous Lumps,Sparganosis
Sudden numbness,Stroke
Difficulty Speaking,Stroke
Difficulty Speaking,Amyotrophic Lateral Sclerosis (ALS)
Difficulty Speaking,Aphasia
Progressive loss of motor skills,Tay-Sachs Disease
Blindness,Tay-Sachs Disease
Stiffness In Tendons,Tendinitis
Spasms,Tetanus
Spasms,Epilepsy
Pale Skin,Thalassemia
Pale Skin,Anemia
Enlarged Spleen,Kala-azar
Enlarged Spleen,Thalassemia
Slow Growth,Thalassemia
Flu-like symptoms,Toxoplasmosis
Eye irritation,Trachoma
Blurred Vision,Trachoma
Blurred Vision,Diabetes Mellitus
Blurred Vision,Glaucoma
Blurred Vision,Diabetic Retinopathy
Blood In Stool,Trichuriasis
Blood In Stool,Ulcerative Colitis
Blood In Stool,Colorectal Cancer
Intense itching,Tungiasis
Presence Of Sand Fleas,Tungiasis
Frequent Urge To Urinate,Urinary Tract Infections (UTIs)
Frequent Urge To Urinate,Cystitis
Cloudy Urine,Urinary Tract Infections (UTIs)
Loss of skin pigment,Vitiligo
White Patches On Skin,Vitiligo
Psychiatric Symptoms,Wilson's Disease
Psychiatric Symptoms,Wilson’s Disease
Conjunctivitis,Zika Virus
Weight Changes,Thyroid Disorders
Difficulty Completing Tasks,Alzheimer's Disease
Swallowing Issues,Amyotrophic Lateral Sclerosis (ALS)
Lumps Or Abnormal Growths,"Cancer (Breast Cancer, Lung Cancer, Prostate Cancer, etc.)"
Swelling Of The Legs,Cardiomyopathy
Sweats,Lymphoma
Sweats,Menopause
Sweats,Tuberculosis
Sweats,Malaria
Sweats,Hodgkin's Lymphoma
Sweats,Lymphadenopathy
Sweats,Hodgkin’s Lymphoma
Coordination Problems,Multiple Sclerosis
Red patches,Psoriasis
Anemia,Sickle Cell Anemia
Changes in mole appearance,Skin Cancer (Melanoma)
Skin Discoloration,Skin Cancer (Melanoma)
Muscle Loss,Weight Loss
Unexplained weight gain,Weight Gain
Darkened skin in folds,Acanthosis Nigricans
Arthritis,Alkaptonuria
Heart Issues,Alkaptonuria
Difficulty speaking or understanding speech,Aphasia
Depressive Episodes,Bipolar Disorder
Manic Episodes,Bipolar Disorder
Sputum Production,Bronchiectasis
White Patches,Vitiligo
White Patches,Candidiasis
Burning Sensation,Candidiasis
Spasticity,Cerebral Palsy
Difficulty With Movement,Cerebral Palsy
Extreme tiredness,Chronic Fatigue Syndrome
Sleep Problems,Chronic Fatigue Syndrome
Nasal congestion,Chronic Sinusitis
Nasal congestion,Nasal Polyps
Nasal congestion,Sinusitis
Facial Pain,Chronic Sinusitis
Facial Pain,Sinusitis
Difficulty eating,Cleft Lip and Palate
Blisters on lips or around the mouth,Cold Sores
Itchy Eyes,Conjunctivitis
Eye Discharge,Conjunctivitis
Low mood,Depression
Loss Of Interest In Activities,Depression
Pain In Limbs,Diabetic Neuropathy
Elevated cholesterol levels,Dyslipidemia
Ear pain,Ear Infections
Fluid Drainage,Ear Infections
Muscle Spasms,Epilepsy
Difficulty achieving or maintaining an erection,Erectile Dysfunction
Swollen Gums,Gingivitis
Bleeding While Brushing,Gingivitis
Swelling in the neck,Goiter
Especially In The Big Toe,Gout
Bulging Eyes,Graves' Disease
Blisters,Guinea Worm Disease
Blisters,Cold Sores
Blisters,Herpes Simplex Virus (HSV)
Typically Around The Mouth Or Genital Area,Herpes Simplex Virus (HSV)
Painful lumps under the skin,Hidradenitis Suppurativa
Drainage,Ear Infections
Drainage,Hidradenitis Suppurativa
Elevated cholesterol,Dyslipidemia
Elevated cholesterol,Hyperlipidemia
Severe pain,Kidney Stones
Vertigo,Meniere's Disease
Tinnitus,Meniere's Disease
Fullness In The Ear,Meniere's Disease
Heavy Flow,Menstrual Disorders
Loss Of Smell,Nasal Polyps
Sinus Pressure,Nasal Polyps
High Red Blood Cell Count,Polycythemia Vera
Flashbacks,Post-Traumatic Stress Disorder (PTSD)
Nightmares,Post-Traumatic Stress Disorder (PTSD)
Weak Stream,Prostate Enlargement (Benign Prostatic Hyperplasia)
Color changes in fingers,Raynaud's Disease
Toes,Raynaud's Disease
Coldness,Raynaud's Disease
Lower back pain,Sciatica
Pain Radiating Down The Leg,Sciatica
Pus,Mycetoma
Pus,Skin Infections
Interrupted Breathing,Sleep Apnea
Loss of movement,Spinal Cord Injury
Neck or back pain,Spondylosis
Loss Of Balance,Stroke
Lump in testicle,Testicular Cancer
Pain Or Swelling,Testicular Cancer
Heaviness In Scrotum,Testicular Cancer
Neck lump,Thyroid Cancer
Hoarseness,Thyroid Cancer
Ringing in the ears,Tinnitus
Ear Fullness,Tinnitus
Lower Abdominal Pain,Urinary Tract Infection (UTI)
Swollen,Bubonic Plague
Swollen,HIV/AIDS
Swollen,Kawasaki Disease
Swollen,Langerhans Cell Histiocytosis
Swollen,Leishmaniasis
Swollen,Lymphoma
Swollen,Monkeypox
Swollen,Onchocerciasis (River Blindness)
Swollen,Pneumonic Plague
Swollen,Septicemic Plague
Swollen,Sleeping Sickness (Trypanosomiasis)
Swollen,Tularemia
Swollen,Gingivitis
Swollen,Hodgkin's Lymphoma
Swollen,Lymphadenopathy
Swollen,Strep Throat
Swollen,Varicose Veins
Swollen,Hodgkin’s Lymphoma
Twisted Veins,Varicose Veins
Heaviness In Legs,Varicose Veins
Malabsorption,Whipple's Disease
Facial drooping,Bell's Palsy
Loss Of Taste,Bell's Palsy
Difficulty Closing Eyes,Bell's Palsy
Extreme mood swings,Bipolar Disorder
Mania,Bipolar Disorder
Frequent Lung Infections,Cystic Fibrosis
Digestive Issues,Cystic Fibrosis
