रोग,हिंदी नाम,मराठी नाम,लक्षण,निदान एवं परीक्षण,लक्षण गंभीरता,उपचार की अवधि,चिकित्सा इतिहास,वर्तमान दवाएँ,जोखिम कारक,पर्यावरणीय कारक,नींद के पैटर्न,तनाव का स्तर,शारीरिक गतिविधि का स्तर,पारिवारिक इतिहास,आहार संबंधी आदतें,एलर्जी (खाद्य/पर्यावरण),मौसमी बदलाव,आयु समूह,लिंग,व्यवसाय और जीवनशैली,सांस्कृतिक प्राथमिकताएँ,हर्बल/वैकल्पिक उपचार,आयुर्वेदिक जड़ी बूटियाँ,सूत्रीकरण,दोष,संविधान/प्रकृति,आहार और जीवनशैली संबंधी सिफारिशें,योग और भौतिक चिकित्सा,चिकित्सा हस्तक्षेप,रोकथाम,रोग का निदान,जटिलताओं,रोगी की सिफारिशें
हेपेटाइटिस बी,बी बी,बी बी,"पीलिया, थकान, पेट दर्द, गहरे रंग का मूत्र","रक्त परीक्षण, यकृत कार्य परीक्षण",मध्यम से गंभीर,1-6 महीने,"वायरल संक्रमण, असुरक्षित यौन संबंध",एंटीवायरल दवाएं,"रक्त, यौन संपर्क, जन्म","असुरक्षित यौन संबंध, सुई साझा करना",अनियमित नींद,मध्यम तनाव,कम,हेपेटाइटिस का पारिवारिक इतिहास,"कम वसा, उच्च फाइबर","शराब, कुछ खाद्य पदार्थ",सभी मौसम,20-60 वर्ष,दोनों लिंग,गतिहीन जीवनशैली,शराब से परहेज करता है,कोई विशिष्ट नहीं,"गुडुची, भूम्यामलकी","नीम के पत्ते (5-6), हल्दी (1/2 छोटा चम्मच), पानी (आवश्यकतानुसार)",पित्त,पित्त-प्रकृति,अच्छी स्वच्छता बनाए रखें; शराब और चिकने खाद्य पदार्थों से बचें।,"यकृत स्वास्थ्य के लिए योग, श्वास व्यायाम","एंटीवायरल दवाएं, टीकाकरण","टीकाकरण, सुरक्षित प्रथाएँ",दवा से प्रबंधित किया जा सकता है,"सिरोसिस, लिवर कैंसर","नियमित निगरानी, टीकाकरण"
हेपेटाइटिस सी,सी,सी सी,"थकान, मतली, गहरे रंग का मूत्र, पीलिया","रक्त परीक्षण, यकृत कार्य परीक्षण",मध्यम से गंभीर,2-6 महीने,"वायरल संक्रमण, असुरक्षित यौन संबंध",एंटीवायरल दवाएं,"रक्त जोखिम, IV दवा का उपयोग","असुरक्षित यौन संबंध, सुई साझा करना",अनियमित नींद,मध्यम तनाव,कम,हेपेटाइटिस का पारिवारिक इतिहास,"कम वसा, उच्च फाइबर","शराब, कुछ खाद्य पदार्थ",सभी मौसम,20-60 वर्ष,दोनों लिंग,गतिहीन जीवनशैली,शराब से परहेज करता है,कोई विशिष्ट नहीं,"अमला, गुडुची","गुडुची (3 ग्राम), आंवला (2 ग्राम), गर्म पानी (200 मिली)","वात, पित्त",वात-प्रकृति,वसायुक्त भोजन से बचें; खूब पानी और विषहरण करने वाली हर्बल चाय पिएं।,"यकृत विषहरण, श्वास व्यायाम","एंटीवायरल दवाएं, लिवर प्रत्यारोपण","सुरक्षित अभ्यास, सुई सुरक्षा",दवा से प्रबंधित किया जा सकता है,"सिरोसिस, लिवर कैंसर","नियमित निगरानी, दवा"
हिस्टोप्लाज़मोसिस,हिस्टोप्लास्मोसिस,हिस्टोप्लास्मोसिस,"खांसी, बुखार, सीने में दर्द, सांस लेने में कठिनाई","रक्त परीक्षण, छाती का एक्स-रे, फंगल कल्चर",मध्यम से गंभीर,1-6 महीने,"फंगल संक्रमण, साँस लेना",एंटीफंगल दवाएं,पक्षी/चमगादड़ की बूंदों के संपर्क में आना,पक्षी या चमगादड़ की बीट के संपर्क में आना,अनियमित नींद,मध्यम तनाव,कम,कोई पारिवारिक इतिहास नहीं,"कम वसा वाले, हाइड्रेटिंग खाद्य पदार्थ",कोई नहीं,सभी मौसम,20-60 वर्ष,दोनों लिंग,दूषित क्षेत्रों के संपर्क में आना,दूषित क्षेत्रों से बचें,कोई विशिष्ट नहीं,"अश्वगंधा, गुडुची","अश्वगंधा (5 ग्राम), हल्दी (1/2 छोटा चम्मच), गर्म पानी (200 मिली)","वात, पित्त",पित्त-वात,नम वातावरण से बचें; अदरक जैसे सूजनरोधी खाद्य पदार्थ शामिल करें।,श्वसन व्यायाम,एंटीफंगल दवाएं,"एक्सपोज़र से बचें, मास्क पहनें",दवा से प्रबंधित किया जा सकता है,"फेफड़ों की क्षति, अंग विफलता","एक्सपोज़र से बचें, नियमित जांच करें"
हुकवर्म संक्रमण,कातिल कातिल कातिल कातिल कातिल,हुकवर्म स�सर्ग,"पेट दर्द, मतली, दस्त","मल परीक्षण, रक्त परीक्षण",हल्के से मध्यम,1-2 महीने,"परजीवी संक्रमण, खराब स्वच्छता",परजीवी रोधी दवाएँ,"दूषित मिट्टी, खराब स्वच्छता","खराब स्वच्छता, दूषित मिट्टी",अनियमित नींद,उच्च तनाव,कम,कोई पारिवारिक इतिहास नहीं,"कम वसा वाले, हाइड्रेटिंग खाद्य पदार्थ",कोई नहीं,सभी मौसम,सभी उम्र,दोनों लिंग,खराब स्वच्छता क्षेत्र,दूषित मिट्टी से बचाता है,कोई विशिष्ट नहीं,कोई विशिष्ट नहीं,"नीम के पत्ते (5-6), पानी (आवश्यकतानुसार)","वात, कफ",कफ-प्रकृति,दूषित क्षेत्रों में नंगे पैर चलने से बचें; उचित स्वच्छता का अभ्यास करें।,कोई विशिष्ट नहीं,कृमिनाशक दवाएँ,"उचित स्वच्छता, नंगे पैर चलने से बचें",दवा से प्रबंधित किया जा सकता है,"एनीमिया, पेट दर्द","अच्छी स्वच्छता, सुरक्षित जल प्रथाएँ"
हंटिंगटन रोग,हंट��ंग्टन रोग,हंट��ंग्टन रोग,"गतिशीलता संबंधी समस्याएं, मनोदशा में उतार-चढ़ाव, संज्ञानात्मक गिरावट","आनुवंशिक परीक्षण, तंत्रिका विज्ञान परीक्षा",गंभीर,जिंदगी भर,"आनुवंशिक, न्यूरोडीजेनेरेटिव",सहायक दवाएं,"आनुवंशिकी, पारिवारिक इतिहास","आनुवंशिक उत्परिवर्तन, पारिवारिक इतिहास",अनियमित नींद,उच्च तनाव,कम,हंटिंगटन का पारिवारिक इतिहास,"संतुलित, उच्च फाइबर",कोई नहीं,सभी मौसम,30-50 वर्ष,दोनों लिंग,गतिहीन जीवनशैली,तनाव से बचाता है,कोई विशिष्ट नहीं,कोई विशिष्ट नहीं,"ब्राह्मी (2 ग्राम), अश्वगंधा (5 ग्राम), गर्म पानी (200 मिली)","वात, पित्त",वात-प्रकृति,तनाव से बचें; ओमेगा-3 फैटी एसिड से भरपूर आहार बनाए रखें।,कोई विशिष्ट नहीं,"सहायक देखभाल, दवाएँ","आनुवंशिक परामर्श, प्रारंभिक निदान",उपचार से प्रबंधित किया जा सकता है,"संज्ञानात्मक गिरावट, आंदोलन संबंधी मुद्दे","नियमित निगरानी, सहायक देखभाल"
हाइड्रोनफ्रोसिस,हाइड्रोनफ्रॉसिस,कातिल कातिल कातिल कातिल कातिल कातिल,"सूजन, पेट दर्द, पेशाब करते समय दर्द","अल्ट्रासाउंड, सीटी स्कैन, मूत्र परीक्षण",मध्यम से गंभीर,1-3 महीने,"मूत्र अवरोध, गुर्दे की बीमारी","मूत्रवर्धक, शल्य चिकित्सा","मूत्र रुकावटें, गर्भावस्था","मोटापा, गुर्दे की पथरी, मूत्र मार्ग में रुकावट",अनियमित नींद,मध्यम तनाव,कम,गुर्दे की बीमारी का पारिवारिक इतिहास,"कम सोडियम, हाइड्रेटिंग खाद्य पदार्थ",कोई नहीं,सभी मौसम,20-60 वर्ष,दोनों लिंग,गतिहीन जीवनशैली,निर्जलीकरण से बचाता है,कोई विशिष्ट नहीं,कोई विशिष्ट नहीं,"गोक्षुरा (3 ग्राम), गर्म पानी (200 मिली)","कफ, वात",कफ-वात,अतिरिक्त नमक से बचें; ताजा हर्बल चाय के साथ जलयोजन बनाए रखें।,कोई विशिष्ट नहीं,"सर्जरी, कैथीटेराइजेशन","शीघ्र निदान, रुकावटों से बचें",उपचार से प्रबंधित किया जा सकता है,"गुर्दे की क्षति, संक्रमण","नियमित जांच, हाइड्रेशन"
हाइपरकोलेस्ट्रोलेमिया,हायपरकोलेस्ट्रोलिमिया,हायपरकोलेस्ट्रोलिमिया,"उच्च कोलेस्ट्रॉल, सीने में दर्द, थकान",रक्त परीक्षण,मध्यम से गंभीर,जिंदगी भर,"आनुवंशिक, उच्च वसा वाला आहार","स्टैटिन, लिपिड कम करने वाली दवाएं","आहार, आनुवंशिकी, मोटापा","उच्च वसायुक्त आहार, गतिहीन जीवनशैली",अनियमित नींद,उच्च तनाव,कम,हाइपरकोलेस्ट्रोलेमिया का पारिवारिक इतिहास,"कम वसा, उच्च फाइबर",कोई नहीं,सभी मौसम,30-70 वर्ष,दोनों लिंग,गतिहीन जीवनशैली,उच्च वसा वाले खाद्य पदार्थों से परहेज करता है,कोई विशिष्ट नहीं,कोई विशिष्ट नहीं,"त्रिफला (1 छोटा चम्मच), गर्म पानी (200 मिली)",पित्त,पित्त-प्रकृति,ट्रांस वसा से बचें; अधिक फाइबर और एंटीऑक्सीडेंट का सेवन करें।,हृदय संबंधी व्यायाम,"स्टैटिन, आहार परिवर्तन","स्वस्थ आहार, नियमित व्यायाम",दवा से प्रबंधित किया जा सकता है,"हृदय रोग, स्ट्रोक","स्वस्थ आहार, नियमित व्यायाम"
हाइपरपेराथायरायडिज्म,हायपरपैरेथायरोइडिज्म,हायपरपैरेथायरोइडिज्म,"कमजोर हड्डियां, गुर्दे की पथरी, थकान","रक्त परीक्षण, इमेजिंग, बायोप्सी",मध्यम से गंभीर,जिंदगी भर,पैराथाइरॉइड विकार,"कैल्शियम की खुराक, सर्जरी","कैल्शियम असंतुलन, ट्यूमर","कैल्शियम असंतुलन, गुर्दे की बीमारी",अनियमित नींद,मध्यम तनाव,कम,हाइपरपेराथाइरोडिज्म का पारिवारिक इतिहास,"कैल्शियम युक्त, कम सोडियम वाला",कोई नहीं,सभी मौसम,40-70 वर्ष,दोनों लिंग,गतिहीन जीवनशैली,उच्च कैल्शियम वाले खाद्य पदार्थों से बचें,कोई विशिष्ट नहीं,कोई विशिष्ट नहीं,"अश्वगंधा (5 ग्राम), गर्म पानी (200 मिली)","वात, पित्त",वात-प्रकृति,कैल्शियम और विटामिन डी युक्त खाद्य पदार्थ शामिल करें; उच्च फॉस्फेट वाले खाद्य पदार्थों से बचें।,कोई विशिष्ट नहीं,"सर्जरी, दवाएं","नियमित निगरानी, सर्जरी",उपचार से प्रबंधित किया जा सकता है,"गुर्दे की पथरी, हड्डियों की समस्याएं","नियमित जांच, कैल्शियम निगरानी"
उच्च रक्तचाप,उच्च रक्तदाब,उच्च रक्तदाब,"उच्च रक्तचाप, सिरदर्द, चक्कर आना",रक्तचाप माप,मध्यम से गंभीर,जिंदगी भर,"उच्च रक्तचाप, मोटापा","उच्चरक्तचापरोधी, मूत्रवर्धक","आनुवंशिकी, मोटापा, तनाव","उच्च नमक आहार, गतिहीन जीवन शैली",अनियमित नींद,उच्च तनाव,कम,उच्च रक्तचाप का पारिवारिक इतिहास,"कम सोडियम, उच्च पोटेशियम",कोई नहीं,सभी मौसम,30-70 वर्ष,दोनों लिंग,गतिहीन जीवनशैली,नमक से बचता है,कोई विशिष्ट नहीं,"अर्जुन, अश्वगंधा","अश्वगंधा (5 ग्राम), गर्म पानी (200 मिली)","पित्त, वात",पित्त-प्रकृति,नमकीन खाद्य पदार्थों से बचें; नियमित शारीरिक गतिविधि और गहरी साँस लेने के व्यायाम में संलग्न रहें।,"तनाव प्रबंधन के लिए योग, श्वास व्यायाम","उच्चरक्तचापरोधी दवाएँ, जीवनशैली में बदलाव","नियमित निगरानी, स्वस्थ आहार",दवा से प्रबंधित किया जा सकता है,"हृदय रोग, स्ट्रोक","स्वस्थ जीवनशैली, नियमित निगरानी"
हाइपरथायरायडिज्म,हायपरथ�यरॉइडिज्म,हायपरथ�यरॉइडिज्म,"वजन घटना, चिंता, कंपन, तेज़ दिल की धड़कन","रक्त परीक्षण, इमेजिंग, बायोप्सी",मध्यम से गंभीर,जिंदगी भर,थायरॉइड डिसफंक्शन,"एंटीथायरॉइड दवाएं, सर्जरी","स्वप्रतिरक्षी रोग, आनुवंशिकी","तनाव, स्वप्रतिरक्षी विकार",अनियमित नींद,उच्च तनाव,उच्च,हाइपरथायरायडिज्म का पारिवारिक इतिहास,"संतुलित, उच्च प्रोटीन",कोई नहीं,सर्दियों का मौसम,20-60 वर्ष,दोनों लिंग,तनावपूर्ण कार्य वातावरण,ठंडे वातावरण से बचता है,कोई विशिष्ट नहीं,"अश्वगंधा, शतावरी","अश्वगंधा (5 ग्राम), गर्म पानी (200 मिली)",पित्त,पित्त-प्रकृति,कैफीन जैसे उत्तेजक खाद्य पदार्थों से बचें; खीरे जैसे ठंडे खाद्य पदार्थ खाएं।,"थायराइड स्वास्थ्य, विश्राम के लिए योग","एंटीथायरॉइड दवाएं, सर्जरी","नियमित निगरानी, तनाव प्रबंधन",दवा से प्रबंधित किया जा सकता है,"हृदय संबंधी समस्याएं, हड्डियों का नुकसान","नियमित निगरानी, दवा"
हाइपोग्लाइसीमिया,हाइपोग्लायसीमिया,हायपोग्लायसीमिया,"कंपकंपी, पसीना आना, चक्कर आना, भ्रम","रक्त परीक्षण, शारीरिक परीक्षण",हल्के से मध्यम,1-2 दिन,"मधुमेह, इंसुलिन उपचार","ग्लूकोज, चीनी की खुराक","मधुमेह, अपर्याप्त आहार","निम्न रक्त शर्करा स्तर, व्यायाम",अनियमित नींद,मध्यम तनाव,मध्यम से उच्च,हाइपोग्लाइसीमिया का पारिवारिक इतिहास,"कम कार्बोहाइड्रेट, उच्च प्रोटीन",कोई नहीं,सभी मौसम,20-60 वर्ष,दोनों लिंग,सक्रिय जीवनशैली,लंबे समय तक उपवास से बचें,कोई विशिष्ट नहीं,"गुडुची, अमला","मेथी (1 छोटा चम्मच), गर्म पानी (200 मिली)","वात, कफ",वात-कफ,"छोटे-छोटे, बार-बार भोजन करें; मीठे खाद्य पदार्थों से बचें।","श्वास व्यायाम, योग","ग्लूकोज, दवाएं","स्वस्थ आहार, नियमित निगरानी",आमतौर पर उपचार से ठीक हो जाता है,"दौरे, चेतना की हानि","नियमित भोजन, चीनी की मात्रा बढ़ाने से बचें"
हाइपोथायरायडिज्म,हायपोथायरॉइडिज्म,हायपोथायरॉइडिज्म,"थकान, वजन बढ़ना, ठंड असहिष्णुता, शुष्क त्वचा","रक्त परीक्षण, इमेजिंग, बायोप्सी",मध्यम से गंभीर,जिंदगी भर,थायरॉइड डिसफंक्शन,लेवोथायरोक्सिन,"स्वप्रतिरक्षी रोग, आनुवंशिकी","ठंडा मौसम, कम आयोडीन सेवन",अनियमित नींद,मध्यम तनाव,कम,हाइपोथायरायडिज्म का पारिवारिक इतिहास,"आयोडीन युक्त, कम वसा वाला",कोई नहीं,सर्दियों का मौसम,30-70 वर्ष,दोनों लिंग,गतिहीन जीवनशैली,ठंडे वातावरण से बचता है,कोई विशिष्ट नहीं,"अश्वगंधा, गुग्गुलु","अश्वगंधा (5 ग्राम), हल्दी (1/2 छोटा चम्मच), पानी (200 मिली)","वात, कफ",वात-कफ,आयोडीन युक्त खाद्य पदार्थ शामिल करें; प्रसंस्कृत खाद्य पदार्थों और अत्यधिक डेयरी उत्पादों से बचें।,"थायराइड स्वास्थ्य, विश्राम के लिए योग",थायराइड हार्मोन प्रतिस्थापन,"नियमित निगरानी, तनाव प्रबंधन",दवा से प्रबंधित किया जा सकता है,"वजन बढ़ना, थकान","नियमित निगरानी, दवा"
अपच,कात,कातिल,"खाने के बाद सूजन, मतली, बेचैनी","शारीरिक परीक्षण, एंडोस्कोपी, रक्त परीक्षण",हल्के से मध्यम,भिन्न,"आहार, तनाव, अधिक खाना","एंटासिड, प्रोटॉन-पंप अवरोधक","तनाव, आहार, अधिक खाना","मसालेदार भोजन, तनाव, अधिक खाना",अनियमित नींद,उच्च तनाव,कम,कोई पारिवारिक इतिहास नहीं,"कम वसा वाला, मसालेदार भोजन से परहेज करता है",कोई नहीं,सभी मौसम,सभी उम्र,दोनों लिंग,तनावपूर्ण कार्य वातावरण,बड़े भोजन से बचें,"पुदीना, अदरक","अदरक, त्रिफला","अजवाइन (1 छोटा चम्मच), गर्म पानी (200 मिली)","पित्त, वात",पित्त-वात,"छोटे-छोटे, बार-बार भोजन करें; कच्चे और तले हुए खाद्य पदार्थों से बचें।","आराम, विश्राम, श्वास व्यायाम","एंटासिड, प्रोटॉन पंप अवरोधक","स्वस्थ आहार, तनाव प्रबंधन",आमतौर पर उपचार से ठीक हो जाता है,"अल्सर, एसिड रिफ्लक्स","छोटे-छोटे भोजन खाएं, ट्रिगर खाद्य पदार्थों से बचें"
सूजन,कातिं,कातिं,"लालिमा, गर्मी, सूजन, दर्द","रक्त परीक्षण, इमेजिंग, शारीरिक परीक्षण",हल्के से गंभीर,भिन्न,"स्वप्रतिरक्षी विकार, संक्रमण",सूजनरोधी दवाएं,"संक्रमण, चोट, स्वप्रतिरक्षी रोग","संक्रमण, चोट, स्वप्रतिरक्षी",अनियमित नींद,मध्यम तनाव,कम,सूजन संबंधी बीमारियों का पारिवारिक इतिहास,सूजनरोधी खाद्य पदार्थ,कोई नहीं,सभी मौसम,सभी उम्र,दोनों लिंग,गतिहीन जीवनशैली,तनाव से बचाता है,"हल्दी, अदरक","हल्दी, अश्वगंधा","हल्दी (1/2 छोटा चम्मच), अदरक (2 ग्राम), गर्म पानी (200 मिली)","वात, पित्त",वात-पित्त,सूजनरोधी खाद्य पदार्थ शामिल करें; प्रसंस्कृत और तले हुए खाद्य पदार्थों से बचें।,"सूजन, विश्राम के लिए योग",सूजनरोधी दवाएँ,"स्वस्थ आहार, तनाव प्रबंधन",दवा से प्रबंधित किया जा सकता है,"पुराना दर्द, ऊतक क्षति","स्वस्थ जीवनशैली, नियमित जांच"
सूजन आंत्र रोग (आईबीडी),सूजनात्मक आंत्र रोग,इन्फ्लेमेटरी बाउल डिसीज,"पेट दर्द, दस्त, वजन घटना, थकान","रक्त परीक्षण, मल परीक्षण, कोलोनोस्कोपी",मध्यम से गंभीर,2-3 महीने,"स्वप्रतिरक्षी, आनुवंशिक","प्रतिरक्षादमनकारी, जैविक","आनुवंशिकी, प्रतिरक्षा प्रणाली संबंधी समस्याएं","तनाव, संक्रमण, उच्च वसा वाला आहार",अनियमित नींद,उच्च तनाव,मध्यम,आईबीडी का पारिवारिक इतिहास,"कम वसा, उच्च फाइबर",कोई नहीं,सभी मौसम,20-50 वर्ष,दोनों लिंग,गतिहीन जीवनशैली,तनाव से बचाता है,कोई विशिष्ट नहीं,"हल्दी, गुडुची","एलोवेरा (ताजा), पानी (200 मिली)","पित्त, कफ",पित्त-कफ,"मसालेदार, तैलीय और अम्लीय खाद्य पदार्थों से बचें; फाइबर का सेवन बढ़ाएँ।","पाचन, तनाव प्रबंधन के लिए योग","सूजन रोधी दवाएँ, सर्जरी","स्वस्थ आहार, नियमित निगरानी",दवा से प्रबंधित किया जा सकता है,"कोलन कैंसर, आंत्र रुकावटें","स्वस्थ आहार, तनाव प्रबंधन"
इंफ्लुएंजा,इन्फ्लूएंजा,फ्लू,"बुखार, गले में खराश, शरीर में दर्द, थकान","रक्त परीक्षण, गले की संस्कृति",हल्के से मध्यम,1-2 सप्ताह,वायरल संक्रमण,एंटीवायरल दवाएं,"मौसमी, निकट संपर्क, कमजोर प्रतिरक्षा प्रणाली",संक्रमित लोगों के साथ निकट संपर्क,अनियमित नींद,उच्च तनाव,कम,कोई पारिवारिक इतिहास नहीं,"संतुलित, हाइड्रेटिंग खाद्य पदार्थ",कोई नहीं,सर्दियों का मौसम,सभी उम्र,दोनों लिंग,भीड़ के संपर्क में आना,बीमार व्यक्तियों के संपर्क से बचता है,"एल्डरबेरी, इचिनेसिया","अमला, गुडुची","अदरक (2 ग्राम), शहद (1 छोटा चम्मच), गर्म पानी (200 मिली)","वात, पित्त",वात-पित्त,"आराम करें, हर्बल चाय से हाइड्रेट करें और ठंडे खाद्य पदार्थों से बचें।","आराम, जलयोजन","एंटीवायरल दवाएं, टीकाकरण","टीकाकरण, स्वच्छता प्रथाएँ",आमतौर पर उपचार से ठीक हो जाता है,"निमोनिया, श्वसन विफलता","अच्छी स्वच्छता, जलयोजन"
अनिद्रा,कातिल,झोप न लागणे,"नींद आने में कठिनाई, बेचैन मन","नींद का अध्ययन, शारीरिक परीक्षण",मध्यम से गंभीर,1-3 सप्ताह,"तनाव, चिंता, अवसाद","नींद सहायक, मेलाटोनिन","तनाव, चिंता, चिकित्सा स्थितियाँ","शोर, प्रकाश प्रदूषण, तनाव",नींद की खराब गुणवत्ता,उच्च तनाव,कम,अनिद्रा का पारिवारिक इतिहास,"कैफीन मुक्त, कम चीनी",कोई नहीं,"सर्दी, गर्मी",सभी उम्र,दोनों लिंग,तनावपूर्ण जीवन शैली,शोरगुल वाले वातावरण से बचें,"लैवेंडर, कैमोमाइल","अश्वगंधा, जटामांसी","ब्राह्मी (2 ग्राम), गर्म पानी (200 मिली)",वात,वात-प्रकृति,कैफीन से बचें; सोने से पहले आरामदायक दिनचर्या बनाएं और योग निद्रा का अभ्यास करें।,"विश्राम, श्वास व्यायाम","नींद सहायक सामग्री, संज्ञानात्मक व्यवहार थेरेपी","स्वस्थ नींद स्वच्छता, तनाव प्रबंधन",आमतौर पर उपचार से ठीक हो जाता है,"थकान, संज्ञानात्मक मुद्दे","विश्राम, नियमित नींद कार्यक्रम"
चिड़चिड़ा आंत्र सिंड्रोम (आईबीएस),कातिल,कातिल,"पेट में ऐंठन, सूजन, दस्त या कब्ज","रक्त परीक्षण, मल परीक्षण, कोलोनोस्कोपी",मध्यम से गंभीर,भिन्न,"तनाव, आहार, संक्रमण","फाइबर सप्लीमेंट्स, एंटीस्पास्मोडिक्स","आहार, तनाव, आंत संक्रमण","तनाव, उच्च वसा वाला आहार, मसालेदार भोजन",अनियमित नींद,उच्च तनाव,कम,आईबीएस का पारिवारिक इतिहास,"उच्च फाइबर, मसालेदार भोजन से परहेज करता है","ग्लूटेन, डेयरी",सभी मौसम,20-60 वर्ष,दोनों लिंग,तनावपूर्ण नौकरी का माहौल,भारी भोजन से बचें,"पुदीना, अदरक","त्रिफला, अदरक","त्रिफला (1 छोटा चम्मच), गर्म पानी (200 मिली)",वात,वात-प्रकृति,गैस पैदा करने वाले खाद्य पदार्थों से बचें; नियमित भोजन का समय और जलयोजन बनाए रखें।,"पाचन, तनाव प्रबंधन के लिए योग","फाइबर, एंटीस्पास्मोडिक्स, प्रोबायोटिक्स","स्वस्थ आहार, तनाव प्रबंधन",दवा से प्रबंधित किया जा सकता है,"पेट दर्द, दस्त, कब्ज","तनाव प्रबंधन, स्वस्थ आहार"
जोड़ों का दर्द,जोड़ दर्द,सांधेदुखी,"जोड़ों में सूजन, अकड़न, दर्द","शारीरिक परीक्षण, एक्स-रे, एमआरआई",मध्यम से गंभीर,भिन्न,"गठिया, चोट, बुढ़ापा","एनएसएआईडी, दर्द निवारक","चोट, गठिया, अति प्रयोग","मौसम, पिछली चोटें",नींद की खराब गुणवत्ता,मध्यम तनाव,कम,गठिया का पारिवारिक इतिहास,"सूजनरोधी, कम सोडियम वाला",कोई नहीं,सभी मौसम,40-70 वर्ष,दोनों लिंग,गतिहीन जीवनशैली,भारी सामान उठाने से बचता है,"हल्दी, अदरक, बोसवेलिया","अश्वगंधा, बोसवेलिया","हल्दी (1/2 छोटा चम्मच), दूध (200 मिली)","वात, कफ",वात-कफ,"ठंडे खाद्य पदार्थों से बचें; हल्के व्यायाम करें और गर्म, पका हुआ भोजन खाएं।","स्ट्रेचिंग, संयुक्त गतिशीलता व्यायाम","दर्द निवारक दवाएँ, भौतिक चिकित्सा","नियमित व्यायाम, वजन प्रबंधन",दवा से प्रबंधित किया जा सकता है,"जोड़ों की क्षति, गतिशीलता में कमी","नियमित व्यायाम, स्वस्थ आहार"
काला-अजार,सकसलाझार,सकसलाझार,"बुखार, वजन घटना, थकान, तिल्ली या यकृत का बढ़ना","रक्त परीक्षण, बायोप्सी, इमेजिंग",मध्यम से गंभीर,1-3 महीने,"मलेरिया, एचआईवी/एड्स",एंटीलीशमैनियल दवाएं,"खराब स्वच्छता, संक्रमित रेत मक्खियाँ","उष्णकटिबंधीय, खराब स्वच्छता",अनियमित नींद,उच्च तनाव,कम,कोई पारिवारिक इतिहास नहीं,"उच्च प्रोटीन, हाइड्रेटिंग खाद्य पदार्थ",कोई नहीं,उष्णकटिबंधीय क्षेत्र,20-60 वर्ष,दोनों लिंग,कीड़ों के संपर्क में आना,अस्वास्थ्यकर स्थितियों से बचता है,कोई विशिष्ट नहीं,कोई विशिष्ट नहीं,"नीम के पत्ते (5-6), पानी (आवश्यकतानुसार)",पित्त,पित्त-प्रकृति,"रेत मक्खियों के संपर्क में आने से बचें; हल्का, पौष्टिक भोजन खाएं।",कोई विशिष्ट नहीं,एंटीलीशमैनियल दवाएं,"सैंडफ्लाई के संपर्क से बचें, स्वच्छता",दवा से प्रबंधित किया जा सकता है,"अंग क्षति, मृत्यु","सैंडफ्लाई के काटने से बचें, स्वच्छ वातावरण"
कावासाकी रोग,कावास�की रोग,कावास�की रोग,"बुखार, त्वचा पर लाल चकत्ते, सूजी हुई लिम्फ नोड्स, लाल आंखें","रक्त परीक्षण, इकोकार्डियोग्राम, इमेजिंग",गंभीर,2-3 महीने,"वायरल संक्रमण, आनुवंशिकी","एस्पिरिन, इम्युनोग्लोबुलिन","आनुवंशिकी, वायरल संक्रमण","संक्रमण, पर्यावरणीय कारक",नींद की खराब गुणवत्ता,उच्च तनाव,कम,कावासाकी रोग का पारिवारिक इतिहास,"संतुलित, सूजनरोधी",कोई नहीं,"सर्दी, वसंत",1-10 वर्ष,दोनों लिंग,संक्रमण के प्रति उच्च जोखिम,ठंडे वातावरण से बचता है,कोई विशिष्ट नहीं,कोई विशिष्ट नहीं,"अश्वगंधा (5 ग्राम), गर्म पानी (200 मिली)","पित्त, वात",पित्त-वात,वसायुक्त भोजन से बचें; हल्के व्यायाम करें और पर्याप्त आराम करें।,कोई विशिष्ट नहीं,"अंतःशिरा इम्युनोग्लोबुलिन, एस्पिरिन","शीघ्र निदान, तत्काल उपचार",उपचार से प्रबंधित किया जा सकता है,"हृदय क्षति, कोरोनरी धमनी धमनीविस्फार","प्रारंभिक उपचार, नियमित निगरानी"
